Abyssosaurus,Berezin,2011,Valid,Early Cretaceous,europe
Albertonectes,"Kubo, Mitchell, Henderson",2012,Valid,Late Cretaceous,na
Alexeyisaurus,"Sennikov, Arkhangelsky",2010,Valid,Late Triassic,europe
Alzadasaurus,Welles,1943,,,
Anningasaura,"Vincent, Benson",2012,Valid,Early Jurassic,europe
Apatomerus,Williston,1903,Valid,Early Cretaceous,
Aphrosaurus,Welles,1943,Valid,Late Cretaceous,
Apractocleidus,Smellie,1916,Disputed,,
Aptychodon,Reuss,1855,Valid,Late Cretaceous,
Archaeonectrus,Owen,1865,Valid,Early Jurassic,
Aristonectes,Cabrera,1941,Valid,Late Cretaceous,sa
Attenborosaurus,Bakker,1993,Valid,Early Jurassic,
Augustasaurus,"Sander, Rieppel, Bucher",1997,Valid,Mid Triassic,
Avalonnectes,"Benson, Evans, Druckenmiller",2012,Valid,Early Jurassic,europe
Bathyspondylus,Delair,1982,Valid,Late Jurassic,
Bishanopliosaurus,Dong,1980,Valid,Early Jurassic,
Bobosaurus,Dalla Vecchia,2006,Valid,Late Triassic,
Borealonectes,"Sato, Wu",1980,Valid,Mid Jurassic,
Brachauchenius,Williston,1903,Valid,Cretaceous,
Brancasaurus,Wegner,1914,Valid,Early Cretaceous,
Brimosaurus,Leidy,1855,Valid,Late Cretaceous,
Callawayasaurus,Carpenter,1999,Valid,Early Cretaceous,
Ceraunosaurus,Thurmond,1968,Jr synonym,,
Chinchenia,Young,1965,Valid,Mid Triassic,
Cimoliasaurus,Leidy,1851,Valid,Late Cretaceous,
Colymbosaurus,Seeley,1874,Valid,Late Jurassic,
Crymocetus,Cope,1869,Valid,Early Cretaceous,
Cryonectes,"Vincent, Bardet, Mattioli",2013,Valid,Early Jurassic,europe
Cryptocleidus,Seeley,1892,Valid,,
Cryptoclidus,Phillips,1871,Valid,Mid Jurassic,
Cymatosaurus,Fritsch,1894,Valid,Mid Triassic,
Discosaurus,Leidy,1851,Valid,,
Djupedalia,"Knutsen, Druckenmiller, Hurum",2012 in paleontology,Valid,Late Jurassic,europe
Dolichorhynchops,Williston,1903,Valid,,
Dravidosaurus,"Yadagiri, Ayyasami",1979,Valid,,
Edgarosaurus,Druckenmiller,2002,Valid,,
Elasmosaurus,Cope,1868,Valid,,
Eoplesiosaurus,"Benson, Evans, Druckenmiller",2012,Valid,Early Jurassic,europe
Eopolycotylus,"Albright, Gillette, Titus",2007,Valid,,
Eretmosaurus,Seeley,1874,Valid,,
Eromangasaurus,Kear,2005,Valid,,
Eurycleidus,Andrews,1922,Valid,,
